序号,价格,商品名称,图片地址
1,60.80,正版 Python机器学习 原理与实践 第2版第二版 薛薇 数据科学与大数据技术丛书 Python机器学习应用研究参考书 中国人民大学出版社,https://img10.360buyimg.com/n7/jfs/t1/230934/37/9735/128796/6584e165Fd1711035/8a0d6d977c605291.jpg
2,109.50,用Python轻松设计控制系统,https://img14.360buyimg.com/n7/jfs/t1/129621/25/29545/92150/641aac1cF14597d88/5a10b3f5b1f9c4d5.jpg
3,39.50,Effective Python：编写高质量Python代码的90个有效方法（原书第2版）,https://img12.360buyimg.com/n7/jfs/t1/208110/11/946/116696/614436b7E05b681d5/725893f719b8af2c.jpg
4,18.10,"<font class=""skcolor_ljg"">Python</font>程序设计（创客教育系列丛书）",https://img13.360buyimg.com/n7/jfs/t1/165519/37/41898/31523/65d706e1F2ae98500/b9c0ecc7c20ab0a6.jpg
5,64.50,人工智能开发丛书 Python机器学习集锦 潘风文 Python数据读取技巧 数据探索性分析 数据预处理 机器学习人工智能开发人员参考9787122433923,https://img10.360buyimg.com/n7/jfs/t1/168853/20/5300/160519/6018fb7bE9b236a88/3053c34dc7cd9500.jpg
6,43.10,零基础学Python从入门到精通 python基础教程基础核心进阶实战编程书 精通计算机程序设计pathon核心技术网络爬虫书籍 源代码视频,https://img12.360buyimg.com/n7/jfs/t1/145412/23/8717/510988/5f6182b7E562b1ca9/28e5036cac2fdf5f.jpg
7,76.00,"<font class=""skcolor_ljg"">Python</font>编程超级魔卡（Python3全彩版）基础、数据结构应用、模块、内置函数、常见错误、英文术语",https://img13.360buyimg.com/n7/jfs/t1/117802/1/38634/135632/649d22e4Ffb16debb/bac0eadd50bfc282.jpg
8,34.50,计算机科学丛书Python语言程序设计 言程序设计,https://img11.360buyimg.com/n7/jfs/t1/181234/25/35301/178116/64c32711F66c55b22/0f728964f181b1e8.jpg
9,26.00,创意动画与编程（Python版）（青少年信息素养教育系列丛书）,https://img14.360buyimg.com/n7/jfs/t1/179187/9/34034/67762/641161f1F06a6fcf6/1a84b3a9af1e8a17.jpg
10,69.50,零基础Python从入门到实践 编程从入门到实践编程语言与程序设计书籍基础教程学习手册从入门到实战系列,https://img13.360buyimg.com/n7/jfs/t1/102472/17/47538/65970/65d70724Fea3aa495/9240528723e83160.jpg
11,9.80,"<font class=""skcolor_ljg"">Python</font>机器学习与可视化分析实战（大数据技术丛书）",https://img10.360buyimg.com/n7/jfs/t1/80889/6/18223/59779/63fc3cadF710b9832/6da02e80943a019b.jpg
12,39.90,跟我学Python一级（青少年人工智能与编程系列丛书）,https://img11.360buyimg.com/n7/jfs/t1219/14/867110517/263292/bc39c742/5551a24eNaef8105b.jpg
13,144.75,"<font class=""skcolor_ljg"">Python</font>深度学习从零开始学（人工智能技术丛书）",https://img14.360buyimg.com/n7/jfs/t1/123703/8/39760/83648/6530e76cFe4ce14a9/8b965e56acaaabf5.jpg
14,60.10,【Qt系列5册】Qt 5.9/6 C++开发指南+PyQt从入门到精通+Python Qt GUI与数据可视化编程+Python GUI设计PyQt5从入门到实践 正版,https://img12.360buyimg.com/n7/jfs/t1/188726/36/4942/57883/60ac9c4dE9b72f5a9/e9ed1f76f48e6ad9.jpg
15,22.90,"<font class=""skcolor_ljg"">Python</font>深度学习入门与实战(人工智能与大数据专业群人才培养系列教材)",https://img11.360buyimg.com/n7/jfs/t1/109588/26/12141/50138/5e93d5d0E5a25db9f/f634a22cdb59504f.jpg
16,47.60,"<font class=""skcolor_ljg"">Python</font>语言程序设计(第2版双色印刷新工科建设计算机类系列教材)",https://img11.360buyimg.com/n7/jfs/t1/26673/29/19346/35982/63589011Ef5563c4d/80e0e0947c03bf79.jpg
